,0
1987,112
1988,198
1989,31
1990,180
1991,90
1992,17
1993,33
1994,434
1995,291
1996,37
1997,11
1998,202
1999,311
2000,100
2001,17
2002,16
2003,466
2004,417
2005,46
2006,59
2007,213
2008,7
2009,110
2010,100
2011,2
2012,326
2013,215
2014,234
2015,497
2016,204
2017,592
2018,33
2019,421
2020,755
2021,22
2022,16
2023,555
2024,4
2025,299
2026,26
2027,160
2028,287
2029,17
2030,386
2031,73
2032,255
2033,32
2034,13
2035,304
2036,437
2037,6
2038,173
2039,130
2040,14
2041,120
2042,71
2043,2
2044,448
2045,336
2046,190
2047,1
2048,113
2049,225
2050,38
2051,91
2052,14
2053,229
2054,146
2055,65
2056,5
2057,201
2058,40
2059,188
2060,16
2061,291
2062,196
2063,14
2064,15
2065,362
2066,22
2067,360
2068,52
2069,28
2070,212
2071,569
2072,9
2073,141
2074,27
2075,300
2076,27
2077,314
2078,74
2079,15
2080,129
2081,48
2082,5
2083,41
2084,11
2085,104
2086,145
2087,133
2088,21
2089,75
2090,177
2091,15
2092,646
2093,2
2094,23
2095,868
2096,6
2097,5
2098,2
2099,349
2100,58
2101,52
2102,8
2103,114
2104,543
2105,499
2106,489
2107,134
2108,634
2109,140
2110,110
2111,104
2112,568
2113,279
2114,165
2115,44
2116,204
2117,213
2118,187
2119,84
2120,24
2121,12
2122,19
2123,60
2124,288
2125,109
2126,162
2127,496
2128,3
2129,35
2130,184
2131,363
2132,11
2133,207
2134,20
2135,55
2136,211
2137,118
2138,376
2139,424
2140,154
2141,15
2142,10
2143,75
2144,582
2145,628
2146,179
2147,26
2148,7
2149,369
2150,5
2151,12
2152,533
2153,2
2154,394
2155,56
2156,17
2157,268
2158,363
2159,175
2160,9
2161,57
2162,26
2163,24
2164,418
2165,7
2166,90
2167,408
2168,264
2169,29
2170,232
2171,5
2172,12
2173,541
2174,370
2175,33
2176,101
2177,476
2178,288
2179,20
2180,257
2181,53
2182,611
2183,16
2184,145
2185,15
2186,61
2187,315
2188,467
2189,139
2190,156
2191,9
2192,419
2193,334
2194,126
2195,5
2196,11
2197,15
2198,306
2199,273
2200,45
2201,342
2202,74
2203,746
2204,152
2205,49
2206,213
2207,230
2208,23
2209,147
2210,133
2211,103
2212,389
2213,337
2214,397
2215,2
2216,64
2217,187
2218,382
2219,601
2220,254
2221,390
2222,12
2223,16
2224,9
2225,52
2226,276
2227,36
2228,274
2229,297
2230,159
2231,65
2232,140
2233,197
2234,32
2235,301
2236,125
2237,38
2238,152
2239,125
2240,110
2241,779
2242,44
2243,74
2244,177
2245,5
2246,457
2247,8
2248,772
2249,34
2250,77
2251,145
2252,73
2253,130
2254,369
2255,872
2256,723
2257,141
2258,7
2259,117
2260,397
2261,156
2262,223
2263,64
2264,263
2265,16
2266,17
2267,7
2268,209
2269,10
2270,68
2271,568
2272,20
2273,556
2274,398
2275,129
2276,3
2277,129
2278,19
2279,241
2280,128
2281,442
2282,582
2283,25
2284,2
2285,136
2286,233
2287,13
2288,225
2289,454
2290,83
2291,134
2292,393
2293,729
2294,226
2295,5
2296,146
2297,213
2298,452
2299,292
2300,238
2301,297
2302,173
2303,32
2304,159
2305,92
2306,131
2307,399
2308,191
2309,16
2310,686
2311,51
2312,206
2313,124
2314,641
2315,189
2316,5
2317,12
2318,71
2319,171
2320,198
2321,413
2322,113
2323,12
2324,155
2325,138
2326,230
2327,299
2328,378
2329,296
2330,509
2331,227
2332,28
2333,388
2334,1
2335,335
2336,136
2337,53
2338,87
2339,196
2340,172
2341,260
2342,225
2343,327
2344,38
2345,483
2346,18
2347,62
2348,6
2349,9
2350,63
2351,558
2352,228
2353,92
2354,5
2355,113
2356,234
2357,552
2358,35
2359,362
2360,164
2361,432
2362,147
2363,113
2364,8
2365,9
2366,9
2367,179
2368,70
2369,86
2370,70
2371,181
2372,264
2373,17
2374,38
2375,298
2376,150
2377,322
2378,157
2379,78
2380,114
2381,237
2382,188
2383,51
2384,57
2385,4
2386,689
2387,160
2388,440
2389,247
2390,292
2391,332
2392,23
2393,19
2394,40
2395,31
2396,124
2397,140
2398,196
2399,3
2400,162
2401,366
2402,166
2403,11
2404,223
2405,84
2406,462
2407,269
2408,686
2409,148
2410,35
2411,370
2412,218
2413,262
2414,43
2415,117
2416,198
2417,50
2418,37
2419,154
2420,191
2421,627
2422,234
2423,45
2424,241
2425,15
2426,12
2427,16
2428,187
2429,330
2430,90
2431,704
2432,247
2433,4
2434,274
2435,35
2436,140
2437,152
2438,505
2439,152
2440,402
2441,20
2442,417
2443,259
2444,3
2445,122
2446,41
2447,348
2448,661
2449,491
2450,533
2451,55
2452,692
2453,505
2454,217
2455,120
2456,387
2457,490
2458,539
2459,26
2460,325
2461,126
2462,26
2463,597
2464,19
2465,79
2466,25
2467,421
2468,15
2469,209
2470,497
2471,404
2472,140
2473,38
2474,72
2475,201
2476,118
2477,9
2478,6
2479,6
2480,79
2481,3
2482,10
2483,110
2484,15
2485,668
2486,117
2487,136
2488,247
2489,111
2490,45
2491,19
2492,36
2493,850
2494,10
2495,8
2496,65
2497,109
2498,669
2499,96
2500,223
2501,323
2502,498
2503,129
2504,47
2505,496
2506,57
2507,310
2508,197
2509,455
2510,194
2511,154
2512,224
2513,21
2514,416
2515,8
2516,453
2517,347
2518,352
2519,116
2520,219
2521,628
2522,308
2523,570
2524,286
2525,291
2526,324
2527,15
2528,130
2529,412
2530,151
2531,84
2532,358
2533,5
2534,66
2535,24
2536,47
2537,1
2538,10
2539,271
2540,503
2541,114
2542,363
2543,17
2544,809
2545,454
2546,354
2547,47
2548,654
2549,144
2550,20
2551,111
2552,194
2553,3
2554,69
2555,5
2556,200
2557,14
2558,171
2559,70
2560,76
2561,136
2562,392
2563,6
2564,26
2565,713
2566,119
2567,4
2568,517
2569,66
2570,512
2571,337
2572,123
2573,47
2574,18
2575,10
2576,338
2577,202
2578,188
2579,11
2580,4
2581,55
2582,59
2583,274
2584,125
2585,499
2586,18
2587,24
2588,749
2589,10
2590,39
2591,246
2592,129
2593,106
2594,176
2595,663
2596,84
2597,42
2598,183
2599,55
2600,176
2601,42
2602,219
2603,6
2604,196
2605,84
2606,219
2607,26
2608,106
2609,168
2610,243
2611,422
2612,185
2613,4
2614,207
2615,98
2616,276
2617,223
2618,35
2619,413
2620,104
2621,228
2622,350
2623,96
2624,330
2625,28
2626,137
2627,191
2628,177
2629,84
2630,4
2631,226
2632,56
2633,195
2634,96
2635,595
2636,410
2637,326
2638,209
2639,261
2640,293
2641,39
2642,66
2643,90
2644,16
2645,28
2646,181
2647,459
2648,333
2649,12
2650,54
2651,447
2652,461
2653,183
2654,270
2655,174
2656,455
2657,184
2658,593
2659,232
2660,84
2661,35
2662,38
2663,86
2664,7
2665,11
2666,5
2667,51
2668,136
2669,4
2670,109
2671,6
2672,282
2673,398
2674,5
2675,404
2676,247
2677,5
2678,25
2679,124
2680,10
2681,34
2682,84
2683,3
2684,278
2685,8
2686,189
2687,7
2688,386
2689,53
2690,75
2691,398
2692,205
2693,554
2694,293
2695,102
2696,70
2697,12
2698,11
2699,253
2700,314
2701,331
2702,410
2703,14
2704,499
2705,14
2706,144
2707,3
2708,6
2709,14
2710,708
2711,41
2712,74
2713,315
2714,37
2715,348
2716,23
2717,1
2718,18
2719,6
2720,179
2721,130
2722,56
2723,115
2724,8
2725,12
2726,45
2727,90
2728,22
2729,487
2730,13
2731,302
2732,180
2733,79
2734,5
2735,219
2736,175
2737,233
2738,65
2739,99
2740,527
2741,230
2742,2
2743,178
2744,129
2745,419
2746,78
2747,13
2748,165
2749,86
2750,5
2751,457
2752,94
2753,8
2754,835
2755,286
2756,27
2757,3
2758,831
2759,251
2760,1
2761,43
2762,322
2763,677
2764,274
2765,276
2766,25
2767,436
2768,221
2769,53
2770,5
2771,43
2772,61
2773,88
2774,128
2775,644
2776,461
2777,285
2778,205
2779,520
2780,644
2781,385
2782,98
2783,367
2784,172
2785,148
2786,551
2787,4
2788,25
2789,271
2790,303
2791,237
2792,123
2793,226
2794,18
2795,33
2796,420
2797,89
2798,250
2799,351
2800,211
2801,196
2802,174
2803,207
2804,12
2805,9
2806,300
2807,52
2808,509
2809,83
2810,4
2811,654
2812,8
2813,211
2814,5
2815,502
2816,273
2817,642
2818,4
2819,98
2820,174
2821,2
2822,15
2823,40
2824,286
2825,11
2826,294
2827,23
2828,30
2829,27
2830,144
2831,34
2832,161
2833,5
2834,200
2835,53
2836,230
2837,92
2838,16
2839,75
2840,854
2841,35
2842,68
2843,112
2844,45
2845,511
2846,256
2847,138
2848,51
2849,4
2850,259
2851,11
2852,20
2853,196
2854,347
2855,35
2856,271
2857,343
2858,52
2859,59
2860,313
2861,403
2862,7
2863,38
2864,17
2865,411
2866,305
2867,42
2868,36
2869,28
2870,19
2871,31
2872,354
2873,6
2874,130
2875,63
2876,389
2877,84
2878,54
2879,3
2880,6
2881,524
2882,359
2883,353
2884,87
2885,42
2886,280
2887,334
2888,171
2889,182
2890,92
2891,230
2892,420
2893,109
2894,3
2895,372
2896,151
2897,38
2898,26
2899,290
2900,382
2901,374
2902,280
2903,5
2904,146
2905,3
2906,81
2907,224
2908,124
2909,871
2910,2
2911,90
2912,39
2913,4
2914,120
2915,17
2916,24
2917,84
2918,315
2919,133
2920,635
2921,264
2922,165
2923,54
2924,7
2925,126
2926,79
2927,116
2928,123
2929,150
2930,96
2931,111
2932,219
2933,9
2934,323
2935,6
2936,262
2937,2
2938,167
2939,113
2940,50
2941,203
2942,546
2943,87
2944,93
2945,784
2946,20
2947,371
2948,194
2949,40
2950,442
2951,201
2952,158
2953,2
2954,78
2955,136
2956,24
2957,262
2958,4
2959,328
2960,3
2961,287
2962,596
2963,174
2964,22
2965,417
2966,421
2967,615
2968,168
2969,351
2970,10
2971,11
2972,10
2973,119
2974,47
2975,111
2976,161
2977,430
2978,488
2979,555
2980,59
2981,5
2982,376
2983,207
2984,5
2985,678
2986,6
2987,500
2988,32
2989,381
2990,189
2991,217
2992,136
2993,84
2994,69
2995,609
2996,469
2997,45
